Ref Id,Course Name,Level,Duration (Weeks),Start,Fees,Age,Occupation,Education Background,Country,Rating,Complete or Not,Reason for Doing Course,Total Time Spent (Hours),Skills Gained,Did this course meet your expectations?,Did this course help you improve your skills?,Did you gain practical knowledge from this course?,Did the course content effectively cover the topics it promised?,Did this course help you improve your skills?,Were the materials and resources provided sufficient?,Would you recommend this course to others?,Did the course length feel appropriate for the content covered?,Did you experience any technical issues during the course?,Do you believe the course provided good value for the cost?,Would you recommend this course to others?
202303M,Digital Marketing,Advanced,6,15-03-2023,8499,29,Job,Bachelor's,India,5,Yes,Promotion,32,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202202F,Data Science,Basic,4,01-02-2022,4499,22,Student,Master's,UK,5,Yes,Job,25,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
202309M,Web Development,Basic,4,15-09-2023,4499,26,Business,High School,India,4,Yes,Devlopment,32,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes
202210F,Data Science,Intermediate,6,15-10-2022,6499,25,Student,Master's,India,5,Yes,Job,34,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
202211M,UX/UI Designer,Intermediate,6,15-11-2022,6499,31,Freelancer,Master's,India,3,Yes,Devlopment,45,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
202203F,Data Science,Advanced,6,15-03-2022,8499,23,Student,Master's,India,5,Yes,Change in field,40,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No
202408M,Digital Marketing,Basic,4,01-08-2024,4499,36,Business,Bachelor's,India,5,Yes,Devlopment,24,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
202404M,Digital Marketing,Intermediate,6,15-04-2024,6499,31,Job,High School,India,4,Yes,Job,41,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202311F,Web Development,Basic,4,15-11-2023,4499,27,Business,High School,India,5,Yes,Devlopment,53,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202409M,Data Science,Basic,4,01-09-2024,4499,33,Business,Bachelor's,UK,5,Yes,Devlopment,27,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No
202203F,Data Analyst,Basic,4,01-03-2022,4499,33,Business,Master's,India,4,Yes,Change in field,30,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
202201M,Data Science,Basic,4,01-01-2022,4499,35,Business,Bachelor's,India,4,Yes,Promotion,35,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No
202403F,Data Science,Basic,4,01-03-2024,4499,24,Student,Bachelor's,Canada,4,Yes,Job,32,"Adobe XD, Sketch, Figma,Axure",No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
202201M,UX/UI Designer,Basic,4,15-01-2022,4499,21,Freelancer,High School,India,5,Yes,Devlopment,30,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202307M,Data Science,Intermediate,6,15-07-2023,6499,20,Student,Master's,India,4,Yes,Job,48,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
202306F,Data Analyst,Intermediate,6,01-06-2023,6499,19,Student,Bachelor's,UK,5,Yes,Job,50,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
202403M,Data Analyst,Basic,4,01-03-2024,4499,20,Student,Bachelor's,India,4,Yes,Job,29,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202409M,Web Development,Intermediate,6,15-09-2024,6499,26,Job,Bachelor's,India,5,Yes,Promotion,42,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202304M,Data Science,Basic,4,15-04-2023,4499,26,Business,High School,India,5,Yes,Change in field,46,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202201M,UX/UI Designer,Basic,4,15-01-2022,4499,30,Business,Bachelor's,India,5,Yes,Job,19,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202409M,Data Science,Basic,4,01-09-2024,4499,24,Student,High School,India,5,Yes,Job,23,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes
202304M,Data Science,Basic,4,15-04-2023,4499,26,Business,High School,India,5,Yes,Change in field,21,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202404M,Machine Learning,Advanced,6,01-04-2024,8499,33,Job,Master's,UK,4,Yes,Job,38,"Azure, Pytorch, Chat Gpt, Tenser Flow, Vector AI, Weak, Keras, H2O.ai, Big ML, Amazon Sagmakar",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202205F,Data Science,Intermediate,6,01-05-2022,6499,18,Student,Bachelor's,India,5,Yes,Job,30,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
202202M,Digital Marketing,Basic,4,15-02-2022,4499,34,Business,High School,India,5,Yes,Devlopment,40,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes
202408M,Digital Marketing,Intermediate,6,15-08-2024,6499,36,Job,High School,India,5,Yes,Promotion,24,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202209F,Data Analyst,Intermediate,6,15-09-2022,6499,35,Job,Master's,India,5,Yes,Change in field,25,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202409F,UX/UI Designer,Basic,4,15-09-2024,4499,32,Business,Master's,India,5,Yes,Change in field,54,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes
202312F,Data Science,Advanced,6,01-12-2023,8499,20,Student,Master's,India,3,Yes,Job,41,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
202212F,Digital Marketing,Basic,4,01-12-2022,4499,32,Business,Master's,India,5,Yes,Devlopment,37,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes
202210M,Web Development,Basic,4,01-10-2022,4499,26,Business,Master's,UK,5,Yes,Devlopment,19,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes
202306F,UX/UI Designer,Basic,4,15-06-2023,4499,30,Business,Master's,India,5,Yes,Devlopment,32,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202312M,Data Analyst,Intermediate,6,15-12-2023,6499,22,Fresher,Master's,India,5,Yes,Job,32,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No
202210F,Digital Marketing,Basic,4,01-10-2022,4499,30,Business,Bachelor's,India,5,Yes,Job,33,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
202308M,Data Analyst,Basic,4,01-08-2023,4499,33,Business,Bachelor's,India,5,Yes,Job,52,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202308F,Digital Marketing,Basic,4,15-08-2023,4499,31,Business,High School,India,5,Yes,Devlopment,32,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202211F,Digital Marketing,Advanced,6,15-11-2022,8499,29,Fresher,Master's,India,4,Yes,Devlopment,42,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes
202307F,Data Science,Advanced,6,01-07-2023,8499,31,Job,Bachelor's,India,5,Yes,Promotion,55,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202203M,Data Science,Advanced,6,15-03-2022,8499,24,Student,Master's,India,5,Yes,Job,41,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202212F,Data Science,Advanced,6,15-12-2022,8499,23,Student,High School,India,4,Yes,Job,30,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
202403M,Data Analyst,Basic,4,15-03-2024,4499,20,Student,High School,India,5,Yes,Job,16,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
202305M,Data Science,Basic,4,01-05-2023,4499,37,Business,Bachelor's,India,5,Yes,Devlopment,54,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202409F,Digital Marketing,Basic,4,01-09-2024,4499,19,Freelancer,High School,UK,4,Yes,Devlopment,30,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202212M,Digital Marketing,Intermediate,6,15-12-2022,6499,29,Job,Bachelor's,India,5,Yes,Promotion,19,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
202306F,Data Science,Advanced,6,15-06-2023,8499,22,Student,High School,India,5,Yes,Job,50,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
202403F,Data Analyst,Advanced,6,15-03-2024,8499,24,Student,High School,India,5,Yes,Promotion,55,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No
202308M,Data Science,Advanced,6,01-08-2023,8499,18,Student,Bachelor's,India,5,Yes,Change in field,44,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes
202405M,UX/UI Designer,Advanced,6,15-05-2024,8499,21,Fresher,Bachelor's,India,4,Yes,Devlopment,37,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
202202M,UX/UI Designer,Basic,4,15-02-2022,4499,22,Freelancer,High School,USA,3,Yes,Devlopment,28,"Adobe XD, Sketch, Figma,Axure",Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
202306F,Data Science,Basic,4,01-06-2023,4499,20,Student,High School,India,5,Yes,Job,20,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202305F,Data Science,Intermediate,6,15-05-2023,6499,27,Business,Bachelor's,India,5,Yes,Devlopment,47,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202308M,Data Science,Basic,4,15-08-2023,4499,34,Business,Master's,India,5,Yes,Change in field,29,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202301M,Data Science,Basic,4,01-01-2023,4499,26,Business,High School,India,3,Yes,Devlopment,23,"Tableau, Advanced Mathematics, Excel",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
202304M,Data Science,Advanced,6,01-04-2023,8499,21,Student,Master's,India,5,Yes,Promotion,51,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
202302F,Data Science,Advanced,6,15-02-2023,8499,32,Business,Bachelor's,India,3,Yes,Devlopment,37,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
202307M,Data Analyst,Advanced,6,15-07-2023,8499,18,Student,High School,India,5,Yes,Change in field,31,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No
202206F,Web Development,Intermediate,6,15-06-2022,6499,34,Freelancer,Master's,Germany,4,Yes,Change in field,42,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
202310M,Data Analyst,Basic,4,01-10-2023,4499,31,Job,Master's,India,4,Yes,Promotion,18,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes
202311F,Data Science,Basic,4,15-11-2023,4499,21,Student,High School,India,5,Yes,Job,30,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202304F,Digital Marketing,Intermediate,6,15-04-2023,6499,36,Business,High School,India,5,Yes,Change in field,45,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
202201F,Data Analyst,Intermediate,6,01-01-2022,6499,31,Job,Bachelor's,India,4,Yes,Job,50,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
202210F,Data Analyst,Intermediate,6,01-10-2022,6499,23,Student,Master's,India,5,Yes,Change in field,41,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
202303M,Data Analyst,Intermediate,6,01-03-2023,6499,23,Fresher,High School,India,5,Yes,Change in field,44,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
202304F,Data Science,Advanced,6,15-04-2023,8499,27,Job,Master's,India,5,Yes,Job,54,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No
202202F,Digital Marketing,Intermediate,6,01-02-2022,6499,27,Job,Bachelor's,India,5,Yes,Job,50,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202208M,Data Analyst,Basic,4,15-08-2022,4499,27,Business,Master's,India,5,Yes,Change in field,31,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
202401F,Web Development,Intermediate,6,01-01-2024,6499,28,Business,Master's,Germany,5,Yes,Change in field,53,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No
202406M,Data Science,Basic,4,01-06-2024,4499,24,Student,High School,India,5,Yes,Job,30,"Adobe XD, Sketch, Figma,Axure",Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes
202212F,Data Analyst,Intermediate,6,01-12-2022,6499,27,Business,Master's,India,5,Yes,Job,49,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
202302M,Data Science,Advanced,6,15-02-2023,8499,22,Student,Bachelor's,Canada,5,Yes,Promotion,49,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202205M,Data Science,Intermediate,6,01-05-2022,6499,20,Fresher,High School,India,5,Yes,Change in field,50,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202402M,Data Analyst,Advanced,6,15-02-2024,8499,19,Student,Master's,India,5,Yes,Job,47,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202311F,Web Development,Advanced,6,15-11-2023,8499,23,Fresher,Master's,India,3,Yes,Devlopment,46,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No
202401F,Data Analyst,Basic,4,01-01-2024,4499,20,Student,Bachelor's,India,5,Yes,Job,34,"Tableau, Advanced Mathematics, Excel",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202409F,Digital Marketing,Advanced,6,15-09-2024,8499,26,Job,Master's,India,5,Yes,Change in field,44,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No
202204F,Web Development,Basic,4,01-04-2022,4499,22,Freelancer,High School,India,5,Yes,Devlopment,19,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202402F,Data Science,Basic,4,15-02-2024,4499,20,Student,Bachelor's,India,5,Yes,Promotion,35,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202207F,Digital Marketing,Intermediate,6,01-07-2022,6499,24,Fresher,Master's,India,5,Yes,Devlopment,31,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202202M,Web Development,Advanced,6,01-02-2022,8499,35,Business,Bachelor's,India,4,Yes,Promotion,43,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
202310M,UX/UI Designer,Intermediate,6,01-10-2023,6499,30,Freelancer,Bachelor's,India,4,Yes,Devlopment,53,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting, Framer, Marvel, HTML/CSS/JavaScript basics ",Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
202209F,UX/UI Designer,Intermediate,6,01-09-2022,6499,32,Job,Master's,UK,4,Yes,Job,55,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202201F,Machine Learning,Basic,4,01-01-2022,4499,26,Job,Bachelor's,India,5,Yes,Promotion,30,"Azure, Pytorch, Chat Gpt",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202303F,Data Analyst,Intermediate,6,15-03-2023,6499,23,Student,Master's,India,5,Yes,Job,36,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No
202211F,Digital Marketing,Intermediate,6,15-11-2022,6499,34,Fresher,Bachelor's,India,4,Yes,Change in field,43,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202205F,Data Science,Intermediate,6,01-05-2022,6499,21,Student,High School,India,3,Yes,Job,36,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
202211M,Data Analyst,Basic,4,01-11-2022,4499,28,Business,Master's,India,5,Yes,Job,29,"Tableau, Advanced Mathematics, Excel",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
202406M,Data Science,Advanced,6,15-06-2024,8499,27,Business,Bachelor's,India,3,Yes,Change in field,44,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No
202308F,Data Science,Intermediate,6,01-08-2023,6499,26,Business,High School,India,5,Yes,Devlopment,52,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI",No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
202309M,Digital Marketing,Advanced,6,15-09-2023,8499,27,Business,High School,India,5,Yes,Devlopment,31,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
202210M,Data Analyst,Basic,4,01-10-2022,4499,22,Student,Master's,India,3,Yes,Job,49,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
202212F,Data Analyst,Advanced,6,15-12-2022,8499,36,Job,High School,India,3,Yes,Change in field,37,"Tableau, Advanced Mathematics, Excel, Pythone,  Power BI, Advance Excel ",No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes
202307F,Data Science,Intermediate,6,15-07-2023,6499,18,Student,High School,India,4,Yes,Job,33,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
202305F,Digital Marketing,Intermediate,6,01-05-2023,6499,31,Freelancer,Bachelor's,India,5,Yes,Job,35,"Google Key, Google Analytics, Word Press, Canva, Blogger, Youtube, Yoast, Similar Web, Meta/Facebook, Pintrist Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization, ON PAGE SEO ( Auditing of website), Off-Page SEO Essentials",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
202407M,Digital Marketing,Basic,4,15-07-2024,4499,33,Business,High School,India,5,Yes,Change in field,16,"Google Key, Google Analytics, Word Press, Introduction to Digital Marketing, Website Planning Process, Keyword Research and Content Writing, Search Engine Optimization",Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
202304F,Data Science,Intermediate,6,01-04-2023,6499,23,Student,Master's,India,5,Yes,Promotion,31,"Adobe XD, Sketch, Figma,Axure, InVision, Zeplin, UserTesting",Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
202401M,Web Development,Intermediate,6,01-01-2024,6499,26,Business,Bachelor's,India,4,Yes,Devlopment,54,"Web Fundamentals, Learn JavaScript and jQuery, Backend Development (Server-Side Programming), Data Management and Storage, React (Front End library and framework), Version Control and Collaboration",Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
